photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_etcone20,myy
[176121.16   39629.145],[-0.833492    0.09470307],[-0.29423872  0.56729376],[240922.31  39806.99],[ True  True],[272.14844 -26.38977],106.42073536964224
[100427.68  95522.57],[1.7343543 0.6880436],[ 0.6559552 -2.4571521],[293338.34 119039.13],[ True  True],[   8.248505 -584.19836 ],223.2949818873586
[45906.086 34899.742],[ 0.5604442  -0.18553612],[-2.9513545  -0.02352049],[53306.277 35502.156],[ True  True],[-432.02734 1166.5856 ],85.25953880085522
[78156.23 66979.34],[0.22070466 1.0673687 ],[-3.0690844  0.0128004],[ 80067.484 108896.05 ],[ True  True],[2606.6353   566.02026],157.80652086584465
[59702.844 36279.23 ],[-0.4967246   0.94473416],[-1.2497647  1.4425606],[67220.94  53709.812],[ True  True],[ -480.21967 -2154.9126 ],116.48930844517089
[93071.24  50926.996],[2.3203492 1.0538707],[-1.5707906  1.2937447],[478268.34  81924.21],[ True  True],[2891.3035  -337.27173],165.14389788652088
[134294.22 115627.08],[0.77096933 0.4933146 ],[-0.52564996  2.5920231 ],[176222.58  129984.195],[ True  True],[1292.2229   55.7099],251.6110505103818
[59590.574 48349.22 ],[0.6774545 1.6576614],[ 1.0736746 -1.483528 ],[ 73796.01 131452.1 ],[ True  True],[-105.30765 -621.71686],116.4708545014162
[43482.766 30917.154],[-1.7178351  0.6907306],[ 2.3396888 -0.7615268],[125054.38  38590.52],[ True  True],[1549.5748   76.7912],133.2444731458353
[73144.24  37723.555],[-0.8203099  0.5212669],[-2.9117901  2.8602717],[99165.26  42965.766],[ True  True],[238.86539 344.95175],80.3896738450943
[73188.805 62626.11 ],[-0.01203904 -0.9310957 ],[ 0.48610106 -2.2760658 ],[73194.11 91791.38],[ True  True],[2072.0452  303.5694],147.76328920404956
[60071.027 40881.76 ],[-2.0545573  -0.30589056],[3.0553482 1.0289464],[238227.64   42809.355],[ True  True],[-1078.194     505.85193],129.23561658782128
[69681.484 60505.062],[-1.1541251  -0.41530284],[1.1309185 2.886971 ],[121475.07  65798.34],[ True  True],[-394.69073  611.0216 ],111.32541381356147
[58575.637 32890.883],[-0.37193927  0.7562568 ],[-2.50527    0.6659228],[62674.203 42753.336],[ True  True],[-413.59747 -140.87482],102.11933223436688
[52823.156 31642.285],[ 2.1530955 -1.0130185],[-2.7601368   0.14169797],[230509.64   49314.855],[ True  True],[ 1914.1055 -1106.2898],207.25908241948457
[43461.8   32436.615],[0.61981934 0.6795657 ],[ 0.982034  -2.2434554],[52081.01  40219.098],[ True  True],[  769.13245 -1261.0756 ],75.06085461422934
[42593.176 37080.168],[0.8546821 0.6550796],[0.502627  0.2533832],[59120.293 45324.88 ],[ True  True],[1124.2417   411.57764],12.67831430297286
[47778.5  33523.38],[-2.149013   1.0223725],[-2.3920171 -1.9538039],[207668.98  52623.7 ],[ True  True],[   90.904175 -1021.24744 ],188.02052437219783
[48371.57  33509.812],[0.50835466 0.35029027],[-0.99902666  2.1789794 ],[54757.535 35586.8  ],[ True  True],[-264.33417 -342.1314 ],80.75965565607892
[47097.914 34739.3  ],[ 0.20302255 -2.3495684 ],[ 1.0368749 -2.141124 ],[ 48071.9  183709.33],[ True  True],[ 233.87299 -543.8405 ],156.2249497994267
[59516.35 48441.58],[-1.3653101   0.51281506],[ 1.2965094 -2.1367815],[124158.22  54951.96],[ True  True],[124.52887  -32.072937],157.55032257809478
[46519.336 40071.094],[0.7287221 1.2510006],[-2.713957    0.57366955],[59427.42 75735.48],[ True  True],[-989.3285  629.2085],89.08860326729749
